,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
796,795,Twisted Metal 2,Sony PlayStation,Sony Computer Entertainment,SingleTrac,8.7,,2.44,1996
802,801,God of War Collection,Sony PlayStation 3,Sony Computer Entertainment,Bluepoint Games,9.2,,2.42,2009
805,804,ATV Offroad Fury,Sony PlayStation 2,Sony Computer Entertainment,Rainbow Studios,8.4,,2.41,2001
819,818,God of War: Ascension,Sony PlayStation 3,Sony Computer Entertainment,SCEA Santa Monica Studio,7.8,,2.4,2013
830,829,Ratchet & Clank (2016),Sony Playstation 4,Sony Interactive Entertainment,Insomniac Games,,,2.38,2016
836,835,Uncharted: The Lost Legacy,Sony Playstation 4,Sony Interactive Entertainment,Naughty Dog,8.4,7.7,2.37,2017
890,889,Cool Boarders 2,Sony PlayStation,Sony Computer Entertainment,UEP Systems,7.2,,2.25,1997
937,936,ATV Offroad Fury 2,Sony PlayStation 2,Sony Computer Entertainment,Rainbow Studios,8.7,,2.18,2002
946,945,PlayStation VR Worlds,Sony Playstation 4,Sony Interactive Entertainment,SIE London Studio,,,2.16,2016
977,976,Killzone: Shadow Fall,Sony Playstation 4,Sony Computer Entertainment,Guerrilla Games,9.0,6.8,2.1,2013
1001,1000,LittleBigPlanet 3,Sony Playstation 4,Sony Computer Entertainment,Sumo Digital,7.9,7.2,2.06,2014
1017,1016,SOCOM: U.S. Navy SEALs: Combined Assault,Sony PlayStation 2,Sony Computer Entertainment,Zipper Interactive,,,2.04,2006
1046,1045,Bloodborne,Sony Playstation 4,Sony Computer Entertainment,From Software,8.2,8.9,2.0,2015
1052,1051,Driveclub,Sony Playstation 4,Sony Computer Entertainment,Evolution Studios,7.2,6.2,2.0,2014
1053,1052,inFAMOUS,Sony PlayStation 3,Sony Computer Entertainment,Sucker Punch Productions,8.7,9.1,2.0,2009
1054,1053,Nioh,Sony Playstation 4,Sony Interactive Entertainment,Team Ninja,8.8,8.5,2.0,2017
1103,1102,Jet Moto 2,Sony PlayStation,Sony Computer Entertainment,SingleTrac,7.0,,1.94,1997
1113,1112,PaRappa The Rapper,Sony PlayStation,Sony Computer Entertainment,NanaOn-Sha,9.2,,1.92,1997
1128,1127,Until Dawn,Sony Playstation 4,Sony Computer Entertainment,Supermassive Games Ltd.,7.9,8.3,1.9,2015
1131,1130,Ratchet & Clank Future: A Crack in Time,Sony PlayStation 3,Sony Computer Entertainment,Insomniac Games,8.7,9.0,1.89,2009
1138,1137,Hot Shots Golf 2,Sony PlayStation,Sony Computer Entertainment,Clap Hanz,9.2,,1.88,2000
